tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL IMPORTADO,2025-11-03,2025-11-03,1090,SAN MIGUEL Nº 1,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,C05,YARIS XLS+ 1.5 CVT 5P,1,Privado,Física,SAN MIGUEL,BUENOS AIRES,Masculino,1962,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-11-03,2025-11-03,1256,TRES DE FEBRERO Nº 6,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,754,SPIN 1.8N 7P PREMIER A/T,1,Privado,Física,MARTÍN CORONADO,BUENOS AIRES,Femenino,1973,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-11-03,2025-11-03,1256,TRES DE FEBRERO Nº 6,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,828,POLO HIGHLINE 170TSI AT G1,1,Privado,Física,C.AUTONOMA DE BS.AS,BUENOS AIRES,Masculino,1978,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-11-03,2025-11-03,1256,TRES DE FEBRERO Nº 6,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,CIUDADELA,BUENOS AIRES,Femenino,1958,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-11-03,2025-11-03,1257,MORENO Nº 3,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A3,AMAROK TRENDLINE TDI MT 4X2 G2,1,Privado,Física,BELLA VISTA,BUENOS AIRES,Masculino,1960,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-11-03,2025-11-03,1091,MONTE,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,C05,YARIS XLS+ 1.5 CVT 5P,1,Privado,Física,SAN MIGUEL DEL MONTE,BUENOS AIRES,Masculino,1946,ARGENTINA,50,06,200
INSCRIPCION INICIAL NACIONAL,2025-11-03,2025-11-03,1013,BRAGADO,Buenos Aires,Nacional,2025,20,PICK-UP,19,FORD,1L,RANGER DC XLS 2.0L T 4X2 MT D,1,Privado,Física,BRAGADO,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-11-03,2025-11-03,1013,BRAGADO,Buenos Aires,Nacional,2017,30,ACOPLADO,HA,SIN MARCA,02,CR,1,Privado,Física,SALTO,BUENOS AIRES,Femenino,1978,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-11-03,2025-11-03,1013,BRAGADO,Buenos Aires,Nacional,2017,30,ACOPLADO,HA,SIN MARCA,06,TRAILER,1,Privado,Física,JUNIN,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-11-03,2025-11-03,1092,SAN NICOLAS Nº 1,Buenos Aires,Nacional,2025,22,FURGON,07,CITROEN,GU,BERLINGO FURGON HDI 92 BUSINESS AM22.5,1,Privado,Física,SAN NICOLAS DE LOS ARROYOS,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
