tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL NACIONAL,2025-02-02,2025-02-02,1280,ESCOBAR Nº 3 (EX. INGENIERO MASCHWITZ),Buenos Aires,Nacional,2025,38,TRAILER (CAT.O1),JB,MB TRAILERS,09,NAUTICO N,1,Privado,Física,INGENIERO MASCHWITZ,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-02-02,2025-02-02,1280,ESCOBAR Nº 3 (EX. INGENIERO MASCHWITZ),Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,BR,HILUX 4X2 DC SR 2.4 TDI 6 MT,1,Privado,Física,GARÍN,BUENOS AIRES,Masculino,1969,ARGENTINA,50,06,200
INSCRIPCION INICIAL NACIONAL,2025-02-03,2025-02-03,4055,CORDOBA Nº 14,Córdoba,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UP,208 ALLURE MT AM25.5,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1999,ARGENTINA,100,14,200
INSCRIPCION INICIAL NACIONAL,2025-02-03,2025-02-03,4055,CORDOBA Nº 14,Córdoba,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,9Z,AMAROK EXTREME V6 AT 4X4 G2,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1974,ARGENTINA,100,14,200
INSCRIPCION INICIAL IMPORTADO,2025-02-03,2025-02-03,4055,CORDOBA Nº 14,Córdoba,Protocolo 21,2025,04,RURAL 5 PUERTAS,151,JEEP,136,RENEGADE SPORT 1.8L AT6 FWD,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1992,ARGENTINA,100,14,200
INSCRIPCION INICIAL NACIONAL,2025-02-03,2025-02-03,4055,CORDOBA Nº 14,Córdoba,Nacional,2025,12,SEDAN 4 PUERTAS,17,FIAT,CP,CRONOS DRIVE 1.3 GSE BZ,1,Privado,Física,CORDOBA,CORDOBA,Femenino,2000,ARGENTINA,100,14,200
INSCRIPCION INICIAL IMPORTADO,2025-02-03,2025-02-03,2005,CAPITAL FEDERAL Nº 005,Ciudad Autónoma de Buenos Aires,Protocolo 21,2025,02,SEDAN 4 PUERTAS,130,TOYOTA,A15,YARIS XLS 1.5 6M/T,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1958,ARGENTINA,100,02,200
INSCRIPCION INICIAL IMPORTADO,2025-02-03,2025-02-03,4078,CORDOBA Nº 24,Córdoba,Importado,2025,15,TRANS.DE PASAJEROS,058,HYUNDAI,564,STARIA 2.2D 4WD,1,Privado,Física,CORDOBA,CORDOBA,Femenino,2001,ARGENTINA,100,14,200
INSCRIPCION INICIAL IMPORTADO,2025-02-03,2025-02-03,4078,CORDOBA Nº 24,Córdoba,Protocolo 21,2025,04,RURAL 5 PUERTAS,151,JEEP,148,RENEGADE SERIE-S T270 AT6 FWD,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1984,ARGENTINA,100,14,200
INSCRIPCION INICIAL IMPORTADO,2025-02-03,2025-02-03,1209,BERAZATEGUI Nº 3,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,136,VOLKSWAGEN,800,T-CROSS TRENDLINE 200TSI AT G1,1,Privado,Física,BERNAL,BUENOS AIRES,Masculino,1963,ARGENTINA,100,06,200
