tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1192,MORON Nº 07,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,A97,COROLLA CROSS SEG 2.0 CVT,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1192,MORON Nº 07,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,027,CITROEN,683,C3 AIRCROSS T200 SHINE 7 MY25,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1194,AVELLANEDA Nº 5,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,817,POLO TRACK MSI MT G1,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1974,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1194,AVELLANEDA Nº 5,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,805,NIVUS 170 TSI MT G1,1,Privado,Física,SAN JUSTO,BUENOS AIRES,Masculino,1973,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1194,AVELLANEDA Nº 5,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,839,TERA TREND MSI MT,1,Privado,Física,ROQUE PEREZ,BUENOS AIRES,Masculino,1993,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-12-01,2025-12-01,1195,TIGRE Nº 3,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,BZ,HILUX 4X2 DC SR 2.4 TDI 6 AT,1,Privado,Jurídica,TIGRE,BUENOS AIRES,No aplica,2010,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1195,TIGRE Nº 3,Buenos Aires,Importado,2025,04,RURAL 5 PUERTAS,R93,BYD,008,YUAN PRO EV GS,1,Privado,Física,GENERAL PACHECO,BUENOS AIRES,Masculino,1982,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1195,TIGRE Nº 3,Buenos Aires,Importado,2025,82,PICK-UP CABINA DOBLE,047,FORD,D02,RANGER RAPTOR 3.0L V6 BIT GTDI 4X4 10AT,1,Privado,Física,OLIVOS,BUENOS AIRES,Femenino,1963,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-12-01,2025-12-01,1195,TIGRE Nº 3,Buenos Aires,Nacional,2025,20,PICK-UP,19,FORD,1K,RANGER DC XLT 2.0L BIT 4X4 10AT D,1,Privado,Física,NORDELTA,BUENOS AIRES,Masculino,1995,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1196,LA PLATA Nº 08,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,B02,COROLLA CROSS XLI 2.0 CVT,1,Privado,Física,LA PLATA,BUENOS AIRES,Femenino,1950,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1196,LA PLATA Nº 08,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1196,LA PLATA Nº 08,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,SAN VICENTE,BUENOS AIRES,Femenino,1956,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1196,LA PLATA Nº 08,Buenos Aires,Protocolo 21,2025,02,SEDAN 4 PUERTAS,130,TOYOTA,B97,COROLLA HEV 1.8 XEI ECVT,1,Privado,Física,CHASCOMÚS,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1198,SAN ISIDRO Nº 07,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,817,POLO TRACK MSI MT G1,1,Privado,Jurídica,SAN ISIDRO,BUENOS AIRES,No aplica,1957,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1198,SAN ISIDRO Nº 07,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,C05,YARIS XLS+ 1.5 CVT 5P,1,Privado,Física,MARTINEZ,BUENOS AIRES,Femenino,2001,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-12-01,2025-12-01,1199,LANUS Nº 6,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,112,RENAULT,C63,KARDIAN ICONIC 200 EDC MY25,1,Privado,Física,REMEDIOS DE ESCALADA,BUENOS AIRES,Femenino,1999,ARGENTINA,50,06,200
INSCRIPCION INICIAL NACIONAL,2025-12-01,2025-12-01,1200,SAN MARTIN Nº 6,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,34,PEUGEOT,VA,2008 ALLURE T200 AM26,1,Privado,Física,LIBERTAD,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-12-01,2025-12-01,1200,SAN MARTIN Nº 6,Buenos Aires,Nacional,2025,22,FURGON,34,PEUGEOT,SJ,PARTNER CONFORT 1.6 HDI 92 AM22.5,1,Privado,Física,SAN MARTIN,BUENOS AIRES,Femenino,1989,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-12-01,2025-12-01,1200,SAN MARTIN Nº 6,Buenos Aires,Nacional,2025,22,FURGON,34,PEUGEOT,SJ,PARTNER CONFORT 1.6 HDI 92 AM22.5,1,Privado,Física,LOMA HERMOSA,BUENOS AIRES,Femenino,1985,ARGENTINA,100,06,200
