tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1206,OLIVOS Nº 07,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,A97,COROLLA CROSS SEG 2.0 CVT,1,Privado,Física,TEMPERLEY,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1206,OLIVOS Nº 07,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,A99,COROLLA CROSS XEI 2.0 CVT,1,Privado,Física,BOULOGNE,BUENOS AIRES,Femenino,1966,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1206,OLIVOS Nº 07,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,112,RENAULT,C63,KARDIAN ICONIC 200 EDC MY25,1,Privado,Física,VICENTE LOPEZ,BUENOS AIRES,Masculino,2005,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1208,MERCEDES Nº 2,Buenos Aires,Importado,2025,10,TODO TERRENO,136,VOLKSWAGEN,765,TIGUAN LIFE 350TSI DSG 4X4,1,Privado,Física,GENERAL RODR?GUEZ,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1208,MERCEDES Nº 2,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,805,NIVUS 170 TSI MT G1,1,Privado,Física,MERCEDES,BUENOS AIRES,Masculino,1956,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1209,BERAZATEGUI Nº 3,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,817,POLO TRACK MSI MT G1,1,Privado,Física,BERAZATEGUI,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1210,ESTEBAN ECHEVERRIA Nº 3,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,044,FIAT,963,FASTBACK TURBO 270 AT,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1991,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-09-01,2025-09-01,1032,GENERAL ARENALES,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,B90,YARIS XS 1.5 CVT,1,Privado,Física,ARRIBEÑOS,BUENOS AIRES,Femenino,1998,ARGENTINA,50,06,200
INSCRIPCION INICIAL NACIONAL,2025-09-01,2025-09-01,1033,GENERAL BELGRANO,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,53,VOLKSWAGEN,B0,TAOS COMFORTLINE 250TSI AT,1,Privado,Física,GENERAL BELGRANO,BUENOS AIRES,Femenino,1987,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-09-01,2025-09-01,1110,SAN ANDRES DE GILES,Buenos Aires,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,VD,208 ALLURE MT AM26,1,Privado,Física,SAN ANDRÉS DE GILES,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-09-01,2025-09-01,1036,GENERAL PINTO,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A1,AMAROK HIGHLINE V6 AT 4X4 G2,1,Privado,Física,GENERAL PINTO - CABECERA DISTRITAL,BUENOS AIRES,Masculino,1950,ARGENTINA,100,06,200
