tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL IMPORTADO,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Protocolo 21,2025,82,PICK-UP CABINA DOBLE,044,FIAT,977,STRADA FREEDOM 1.3 CD,1,Privado,Física,NEUQUEN,RIO NEGRO,Femenino,1950,ARGENTINA,100,62,200
INSCRIPCION INICIAL IMPORTADO,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Protocolo 21,2025,05,SEDAN 5 PUERTAS,027,CITROEN,675,BASALT T200 SHINE,1,Privado,Física,NEUQUEN,RIO NEGRO,Masculino,1992,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UV,208 ALLURE AT AM25.5,1,Privado,Física,NEUQUEN,RIO NEGRO,Femenino,1962,ARGENTINA,100,62,200
INSCRIPCION INICIAL IMPORTADO,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Protocolo 21,2025,04,RURAL 5 PUERTAS,044,FIAT,963,FASTBACK TURBO 270 AT,1,Privado,Física,NEUQUEN,RIO NEGRO,Masculino,1968,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Nacional,2025,12,SEDAN 4 PUERTAS,17,FIAT,CP,CRONOS DRIVE 1.3 GSE BZ,1,Privado,Física,NEUQUEN,RIO NEGRO,Femenino,1996,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UU,208 ALLURE PK T200 AM25.5,1,Privado,Física,NEUQUEN,RIO NEGRO,Masculino,1975,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Nacional,2025,12,SEDAN 4 PUERTAS,37,RENAULT,5S,LOGAN LIFE 1.6,1,Privado,Física,LAMARQUE,RIO NEGRO,Femenino,1963,ARGENTINA,100,62,200
INSCRIPCION INICIAL IMPORTADO,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Protocolo 21,2025,04,RURAL 5 PUERTAS,044,FIAT,945,PULSE AUDACE 1.0T CVT,1,Privado,Física,NEUQUEN,RIO NEGRO,Femenino,1976,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-05-01,2025-05-01,16002,CHOELE CHOEL,Río Negro,Nacional,2025,14,RURAL 4/5 PUERTAS,34,PEUGEOT,UY,2008 GT T200 AM25,1,Privado,Física,CHOS MALAL,RIO NEGRO,Femenino,1983,ARGENTINA,100,62,200
INSCRIPCION INICIAL IMPORTADO,2025-05-05,2025-05-05,1019,COLON,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,COLÓN,BUENOS AIRES,Masculino,1991,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-05-05,2025-05-05,1020,CORONEL DORREGO,Buenos Aires,Nacional,2025,31,SEMIRREMOLQUE,90,LAMBERT,34,S2PL,1,Privado,Física,CORONEL DORREGO,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-05-05,2025-05-05,1020,CORONEL DORREGO,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,771,NUEVO POLO TRACK MSI MT,1,Privado,Física,BAHÍA BLANCA,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-05-05,2025-05-05,1020,CORONEL DORREGO,Buenos Aires,Nacional,2025,20,PICK-UP,AC,NISSAN,13,FRONTIER PRO4X 4X4 AT 2.3 D CD,1,Privado,Física,CORONEL DORREGO,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-05-05,2025-05-05,1001,ADROGUE Nº 1,Buenos Aires,Importado,2025,82,PICK-UP CABINA DOBLE,047,FORD,C82,MAVERICK XLT 2.0L 4X2 AT,1,Privado,Jurídica,SAN JOSE,BUENOS AIRES,No aplica,2004,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-05-05,2025-05-05,1001,ADROGUE Nº 1,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,SAN JOSÉ,BUENOS AIRES,Masculino,1955,ARGENTINA,100,06,200
