tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL NACIONAL,2025-06-01,2025-06-01,16003,GENERAL ROCA Nº 1,Río Negro,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UV,208 ALLURE AT AM25.5,1,Privado,Física,GENERAL ROCA,RIO NEGRO,Femenino,1968,ARGENTINA,100,62,200
INSCRIPCION INICIAL IMPORTADO,2025-06-01,2025-06-01,16003,GENERAL ROCA Nº 1,Río Negro,Protocolo 21,2025,04,RURAL 5 PUERTAS,027,CITROEN,682,C3 AIRCROSS T200 FEEL PK MY25,1,Privado,Física,NEUQUEN,RIO NEGRO,Masculino,1991,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-06-01,2025-06-01,16003,GENERAL ROCA Nº 1,Río Negro,Nacional,2025,14,RURAL 4/5 PUERTAS,53,VOLKSWAGEN,B1,TAOS HIGHLINE 250TSI AT,1,Privado,Física,GENERAL ROCA,RIO NEGRO,Femenino,1962,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-06-01,2025-06-01,16003,GENERAL ROCA Nº 1,Río Negro,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UV,208 ALLURE AT AM25.5,1,Privado,Física,NEUQUEN,RIO NEGRO,Masculino,1992,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-06-01,2025-06-01,16003,GENERAL ROCA Nº 1,Río Negro,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UT,208 GT T200 AM25.5,1,Privado,Física,RINCON DE LOS SAUCES,RIO NEGRO,Femenino,1990,ARGENTINA,100,62,200
INSCRIPCION INICIAL NACIONAL,2025-06-02,2025-06-02,4031,SANTA ROSA DEL RIO 1,Córdoba,Nacional,2025,12,SEDAN 4 PUERTAS,17,FIAT,CR,CRONOS DRIVE 1.3 GSE CVT BZ,1,Privado,Física,RIO PRIMERO,CORDOBA,Masculino,1970,ARGENTINA,100,14,200
INSCRIPCION INICIAL IMPORTADO,2025-06-02,2025-06-02,4031,SANTA ROSA DEL RIO 1,Córdoba,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,A97,COROLLA CROSS SEG 2.0 CVT,1,Privado,Física,VILLA SANTA ROSA,CORDOBA,Masculino,1980,ARGENTINA,100,14,200
INSCRIPCION INICIAL NACIONAL,2025-06-02,2025-06-02,4033,VILLA MARIA Nº 1,Córdoba,Nacional,2025,14,RURAL 4/5 PUERTAS,34,PEUGEOT,UX,2008 ALLURE T200 AM25,1,Privado,Física,VILLA MARIA,CORDOBA,Femenino,1972,ARGENTINA,100,14,200
INSCRIPCION INICIAL NACIONAL,2025-06-02,2025-06-02,4034,VILLA DE MARIA,Córdoba,Nacional,2025,22,FURGON,37,RENAULT,6A,KANGOO EXPRESS 2A 1.6 SCE 114,1,Privado,Jurídica,SEBASTIAN ELCANO,CORDOBA,No aplica,1951,No aplica,100,14,
INSCRIPCION INICIAL IMPORTADO,2025-06-02,2025-06-02,4034,VILLA DE MARIA,Córdoba,Importado,2025,82,PICK-UP CABINA DOBLE,093,MITSUBISHI,615,L200 2.4L GLS 6AT 4WD FULL,1,Privado,Física,SAN MARCOS SUD,CORDOBA,Masculino,1952,ARGENTINA,100,14,200
