tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1019,COLON,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A3,AMAROK TRENDLINE TDI MT 4X2 G2,1,Privado,Física,COLÓN,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1019,COLON,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A3,AMAROK TRENDLINE TDI MT 4X2 G2,1,Privado,Física,COLÓN,BUENOS AIRES,Masculino,1971,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1020,CORONEL DORREGO,Buenos Aires,Nacional,2025,20,PICK-UP,AC,NISSAN,18,FRONTIER X-GEAR 4X4 AT 2.3 D CD,1,Privado,Física,MONTE HERMOSO,BUENOS AIRES,Masculino,1958,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1025,CHASCOMUS,Buenos Aires,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,UL,208 ALLURE AM25,1,Privado,Física,PILA,BUENOS AIRES,Femenino,1969,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1025,CHASCOMUS,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,53,VOLKSWAGEN,8E,TAOS COMFORTLINE 250 TSI AT,1,Privado,Física,CHASCOMUS,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1025,CHASCOMUS,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,34,PEUGEOT,UD,2008 ACTIVE T200 AM24,1,Privado,Física,CHASCOMUS,BUENOS AIRES,Femenino,2002,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1028,DOLORES,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,B02,COROLLA CROSS XLI 2.0 CVT,1,Privado,Física,DOLORES,BUENOS AIRES,Femenino,1988,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1028,DOLORES,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A1,AMAROK HIGHLINE V6 AT 4X4 G2,1,Privado,Física,DOLORES,BUENOS AIRES,Masculino,1966,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1032,GENERAL ARENALES,Buenos Aires,Protocolo 21,2025,82,PICK-UP CABINA DOBLE,136,VOLKSWAGEN,786,NUEVO SAVEIRO COMFORTLINE CD MSI MT,1,Privado,Física,GENERAL ARENALES,BUENOS AIRES,Masculino,1957,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1032,GENERAL ARENALES,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,DF,HILUX 4X2 DC SRV 2.8 TDI 6 AT HAR,1,Privado,Física,GENERAL ARENALES,BUENOS AIRES,Masculino,1961,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1032,GENERAL ARENALES,Buenos Aires,Nacional,2025,40,TODO TERRENO,68,TOYOTA,CU,SW4 4X4 SRX 2.8 TDI 6 AT 7A HAR,1,Privado,Física,GENERAL ARENALES,BUENOS AIRES,Masculino,1958,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Nacional,2025,22,FURGON,29,MERCEDES BENZ,HX,SPRINTER 311 CDI FURGON 3665,1,Privado,Jurídica,MONTE GRANDE,BUENOS AIRES,No aplica,2020,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,764,ONIX 1.0T AT PREMIER,1,Privado,Física,TRISTÁN SUÁREZ,BUENOS AIRES,Masculino,1960,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1001,ADROGUE Nº 1,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,151,JEEP,136,RENEGADE SPORT 1.8L AT6 FWD,1,Privado,Física,LONGCHAMPS,BUENOS AIRES,Femenino,1999,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-01-02,2025-01-02,1001,ADROGUE Nº 1,Buenos Aires,Nacional,2025,14,RURAL 4/5 PUERTAS,08,CHEVROLET,FM,TRACKER 1.2T AT PREMIER,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1957,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1001,ADROGUE Nº 1,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,834,ONIX 1.0T LT MT,1,Privado,Física,BURZACO,BUENOS AIRES,Femenino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,130,TOYOTA,B34,COROLLA CROSS SEG HEV 1.8 ECVT,1,Privado,Jurídica,AVELLANEDA,BUENOS AIRES,No aplica,2024,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1004,AVELLANEDA Nº 1,Buenos Aires,Importado,2024,14,CAMION,F82,FOTON,020,AUMARK S1 614,1,Privado,Física,SARANDÍ,BUENOS AIRES,Masculino,1971,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1005,AVELLANEDA Nº 2,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,027,CITROEN,658,C3 VTI FEEL MY24,1,Privado,Física,WILDE,BUENOS AIRES,Masculino,1994,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1005,AVELLANEDA Nº 2,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,027,CITROEN,664,C3 AIRCROSS VTI FEEL PK MY24.5,1,Privado,Física,GERLI,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1005,AVELLANEDA Nº 2,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,024,CHEVROLET,778,TRACKER 1.2T AT LTZ,1,Privado,Física,LANÚS OESTE,BUENOS AIRES,Masculino,1957,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-01-02,2025-01-02,1006,AYACUCHO,Buenos Aires,Protocolo 21,2025,92,TRACTOR C/CABINA DORMITORIO,092,MERCEDES BENZ,D32,AXOR 2544 LS,1,Privado,Física,AYACUCHO,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
