tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL NACIONAL,2025-07-01,2025-07-01,1002,AMERICA,Buenos Aires,Nacional,2025,31,SEMIRREMOLQUE,82,VULCANO,29,AMG3II,1,Privado,Jurídica,AMÉRICA,BUENOS AIRES,No aplica,2021,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-07-01,2025-07-01,1002,AMERICA,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,B90,YARIS XS 1.5 CVT,1,Privado,Física,AMÉRICA,BUENOS AIRES,Femenino,1984,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-07-01,2025-07-01,1003,ARRECIFES,Buenos Aires,Protocolo 21,2025,02,SEDAN 4 PUERTAS,130,TOYOTA,A70,COROLLA 2.0 XEI CVT,1,Privado,Física,ARRECIFES,BUENOS AIRES,Masculino,1989,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-07-01,2025-07-01,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,151,JEEP,141,RENEGADE SPORT T270 AT6 FWD,1,Privado,Física,WILDE,BUENOS AIRES,Masculino,1967,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-07-01,2025-07-01,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2025,13,FURGON,104,PEUGEOT,966,EXPERT L3 HDI 120 AM25,1,Privado,Física,WILDE,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-07-01,2025-07-01,1004,AVELLANEDA Nº 1,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A5,AMAROK HIGHLINE TDI AT 4X2 G2,1,Privado,Física,GRAL DONOVAN,BUENOS AIRES,Masculino,1957,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-07-01,2025-07-01,1006,AYACUCHO,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,CR,HILUX 4X4 DC SR 2.8 TDI 6 AT,1,Privado,Jurídica,AYACUCHO,BUENOS AIRES,No aplica,    ,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-07-01,2025-07-01,1008,BAHIA BLANCA Nº 1,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,151,JEEP,145,COMPASS SERIE-S T270 AT6 FWD,1,Privado,Física,BAHIA BLANCA,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-07-01,2025-07-01,1009,BAHIA BLANCA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A4,AMAROK COMFORTLINE TDI AT 4X2 G2,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,BUENOS AIRES,No aplica,1996,No aplica,100,06,
INSCRIPCION INICIAL NACIONAL,2025-07-01,2025-07-01,1009,BAHIA BLANCA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A4,AMAROK COMFORTLINE TDI AT 4X2 G2,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,BUENOS AIRES,No aplica,1997,No aplica,100,06,
