tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL NACIONAL,2025-10-01,2025-10-01,1001,ADROGUE Nº 1,Buenos Aires,Nacional,2025,38,TRAILER (CAT.O1),HU,HIZA TRAILERS,02,MEDIA BARANDA,1,Privado,Física,BURZACO,BUENOS AIRES,Masculino,1959,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-10-01,2025-10-01,1001,ADROGUE Nº 1,Buenos Aires,Importado,2023,84,ARENERO,393,POLARIS,193,RZR XP 4 1000,1,Privado,Física,ADROGUÉ,BUENOS AIRES,Femenino,1975,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-10-01,2025-10-01,1001,ADROGUE Nº 1,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,C05,YARIS XLS+ 1.5 CVT 5P,1,Privado,Física,BURZACO,BUENOS AIRES,Femenino,1976,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-10-01,2025-10-01,1002,AMERICA,Buenos Aires,Nacional,2025,22,FURGON,29,MERCEDES BENZ,HU,SPRINTER 314 CDI FURGON 3665,1,Privado,Física,GONZALEZ MORENO,BUENOS AIRES,Masculino,2004,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-10-01,2025-10-01,1002,AMERICA,Buenos Aires,Protocolo 21,2025,82,PICK-UP CABINA DOBLE,024,CHEVROLET,832,S10 CD 2.8 TD 4X4 WT MT,1,Privado,Física,AMERICA,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-10-01,2025-10-01,1003,ARRECIFES,Buenos Aires,Protocolo 21,2025,82,PICK-UP CABINA DOBLE,044,FIAT,936,TORO VOLCANO 1.3T CD AT6 4X2,1,Privado,Jurídica,ARRECIFES,BUENOS AIRES,No aplica,1996,No aplica,100,06,
INSCRIPCION INICIAL NACIONAL,2025-10-01,2025-10-01,1003,ARRECIFES,Buenos Aires,Nacional,2025,20,PICK-UP,19,FORD,1G,RANGER DC LTD+ 3.0L V6 4X4 10AT D,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,BUENOS AIRES,No aplica,2003,No aplica,100,06,
INSCRIPCION INICIAL IMPORTADO,2025-10-01,2025-10-01,1003,ARRECIFES,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,809,NUEVO POLO COMFORTLINE 170TSI AT,1,Privado,Física,ARRECIFES,BUENOS AIRES,Masculino,2002,ARGENTINA,50,06,200
INSCRIPCION INICIAL IMPORTADO,2025-10-01,2025-10-01,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,027,CITROEN,700,C3 VTI FEEL MY26,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-10-01,2025-10-01,1004,AVELLANEDA Nº 1,Buenos Aires,Nacional,2025,17,SEDAN 5 PUERTAS,34,PEUGEOT,VH,208 GT T200 AM26,1,Privado,Física,RAMOS MEJIA,BUENOS AIRES,Masculino,1956,ARGENTINA,100,06,200
